,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date
180,0.216,0.28,2,0.0306,0.784,1.6e-05,0.222,0.181,87.642,236000,4,*NSYNC,1998
181,0.533,0.52,4,0.0249,0.237,0.0,0.257,0.189,80.878,233093,4,*NSYNC,1998
182,0.706,0.948,9,0.0318,0.0173,6.87e-05,0.256,0.88,118.021,211187,4,*NSYNC,1998
183,0.594,0.683,9,0.0371,0.43,0.0,0.12,0.419,80.922,269507,4,*NSYNC,1998
184,0.532,0.568,8,0.026,0.00854,0.0,0.194,0.244,153.985,272600,3,*NSYNC,1998
185,0.599,0.697,9,0.0241,0.113,0.0,0.13,0.429,84.009,286267,4,*NSYNC,1998
186,0.655,0.942,5,0.0481,0.0999,0.0,0.878,0.764,105.007,252907,4,*NSYNC,1998
187,0.518,0.53,7,0.0239,0.349,1.87e-05,0.217,0.285,102.395,195640,3,*NSYNC,1998
188,0.467,0.526,6,0.024,0.144,0.0,0.176,0.257,146.56,232693,4,*NSYNC,1998
189,0.589,0.825,7,0.0256,0.143,0.000177,0.359,0.587,95.016,223560,4,*NSYNC,1998
190,0.479,0.739,2,0.0272,0.00561,0.0,0.343,0.384,83.317,208867,3,*NSYNC,1998
191,0.692,0.747,11,0.0352,0.0675,0.0,0.337,0.712,126.069,245533,4,*NSYNC,1998
192,0.549,0.453,0,0.0275,0.285,0.0,0.227,0.256,135.998,270293,4,*NSYNC,1998
193,0.224,0.215,5,0.0283,0.906,0.0,0.109,0.295,82.494,213533,5,*NSYNC,1998
194,0.23,0.288,2,0.0274,0.789,1.31e-05,0.278,0.178,91.412,234973,4,*NSYNC,1998
195,0.463,0.509,4,0.0272,0.227,0.0,0.221,0.225,161.722,232093,4,*NSYNC,1998
196,0.71,0.941,9,0.0321,0.0167,3.74e-05,0.307,0.914,118.014,209000,4,*NSYNC,1998
197,0.686,0.915,7,0.0364,0.0028,7.16e-06,0.233,0.796,110.054,211000,4,*NSYNC,1997-05-26
198,0.689,0.797,10,0.0426,0.000704,0.0604,0.0232,0.808,103.678,243400,4,*NSYNC,1997-05-26
199,0.753,0.876,0,0.0579,0.0261,0.0,0.306,0.694,112.994,215867,4,*NSYNC,1997-05-26
200,0.594,0.653,2,0.0307,0.0385,0.0,0.048,0.58,170.212,226200,4,*NSYNC,1997-05-26
201,0.6,0.544,10,0.0358,0.441,0.0,0.255,0.32,83.992,282960,4,*NSYNC,1997-05-26
202,0.692,0.931,5,0.0369,0.0546,0.000238,0.0635,0.894,116.645,213640,4,*NSYNC,1997-05-26
203,0.56,0.981,9,0.0355,4.06e-05,1.26e-05,0.35,0.881,129.999,194960,4,*NSYNC,1997-05-26
204,0.758,0.93,8,0.0425,0.0503,0.000226,0.325,0.853,112.042,202107,4,*NSYNC,1997-05-26
205,0.521,0.732,9,0.0565,0.154,0.0,0.142,0.396,83.049,238693,4,*NSYNC,1997-05-26
206,0.495,0.704,9,0.0331,0.0184,0.0,0.19,0.407,174.056,239733,4,*NSYNC,1997-05-26
207,0.733,0.876,9,0.0326,0.00184,2.06e-05,0.321,0.877,115.901,221667,4,*NSYNC,1997-05-26
208,0.426,0.714,9,0.0314,0.0317,0.000302,0.362,0.213,75.03,277640,4,*NSYNC,1997-05-26
209,0.738,0.868,2,0.178,0.0252,0.0,0.817,0.656,93.022,248800,4,*NSYNC,1997-05-26
210,0.693,0.905,7,0.0466,0.0121,2.2e-05,0.368,0.831,110.054,286267,4,*NSYNC,1997-05-26
211,0.692,0.904,5,0.0369,0.123,7.21e-05,0.0646,0.908,116.616,213067,4,*NSYNC,1997-05-26
212,0.467,0.555,9,0.0306,0.0475,2.58e-06,0.391,0.246,75.005,276973,4,*NSYNC,1997-05-26
213,0.748,0.837,2,0.0317,0.0118,0.0,0.299,0.94,115.876,220333,4,*NSYNC,1997-05-26
214,0.724,0.979,2,0.0464,0.0216,4.39e-06,0.204,0.756,136.978,221133,4,*NSYNC,1997-05-26
215,0.594,0.532,10,0.0309,0.104,0.0,0.0358,0.591,170.238,231360,4,*NSYNC,1997-05-26
216,0.543,0.978,9,0.0364,0.000163,1.49e-05,0.348,0.908,130.009,194867,4,*NSYNC,1997-05-26
217,0.742,0.758,2,0.0996,0.0925,0.0,0.873,0.635,93.009,248533,4,*NSYNC,1997-05-26
218,0.761,0.812,0,0.0469,0.0424,0.0,0.277,0.716,112.98,215067,4,*NSYNC,1997-05-26
219,0.599,0.321,10,0.0281,0.0112,0.0,0.635,0.4,161.884,284400,3,*NSYNC,1997-05-26
220,0.628,0.492,7,0.0363,0.166,0.0,0.223,0.387,126.769,222707,3,*NSYNC,1997-05-26
221,0.806,0.872,8,0.0465,0.0861,0.0111,0.164,0.886,112.056,263160,4,*NSYNC,1997-05-26
222,0.641,0.637,7,0.0363,0.00877,0.0843,0.0616,0.906,120.003,248173,4,*NSYNC,1997-05-26
223,0.532,0.938,1,0.0392,0.131,0.0,0.168,0.748,140.01,247400,4,*NSYNC,1997-05-26
224,0.693,0.905,7,0.0466,0.0121,2.2e-05,0.368,0.831,110.054,286267,4,*NSYNC,1997-05-20
225,0.692,0.904,5,0.0369,0.123,7.21e-05,0.0646,0.908,116.616,213067,4,*NSYNC,1997-05-20
226,0.467,0.555,9,0.0306,0.0475,2.58e-06,0.391,0.246,75.005,276973,4,*NSYNC,1997-05-20
227,0.748,0.837,2,0.0317,0.0118,0.0,0.299,0.94,115.876,220333,4,*NSYNC,1997-05-20
228,0.724,0.979,2,0.0464,0.0216,4.39e-06,0.204,0.756,136.978,221133,4,*NSYNC,1997-05-20
229,0.594,0.532,10,0.0309,0.104,0.0,0.0358,0.591,170.238,231360,4,*NSYNC,1997-05-20
230,0.543,0.978,9,0.0364,0.000163,1.49e-05,0.348,0.908,130.009,194867,4,*NSYNC,1997-05-20
231,0.742,0.758,2,0.0996,0.0925,0.0,0.873,0.635,93.009,248533,4,*NSYNC,1997-05-20
232,0.761,0.812,0,0.0469,0.0424,0.0,0.277,0.716,112.98,215067,4,*NSYNC,1997-05-20
233,0.599,0.321,10,0.0281,0.0112,0.0,0.635,0.4,161.884,284400,3,*NSYNC,1997-05-20
234,0.628,0.492,7,0.0363,0.166,0.0,0.223,0.387,126.769,222707,3,*NSYNC,1997-05-20
235,0.806,0.872,8,0.0465,0.0861,0.0111,0.164,0.886,112.056,263160,4,*NSYNC,1997-05-20
236,0.641,0.637,7,0.0363,0.00877,0.0843,0.0616,0.906,120.003,248173,4,*NSYNC,1997-05-20
237,0.532,0.938,1,0.0392,0.131,0.0,0.168,0.748,140.01,247400,4,*NSYNC,1997-05-20
238,0.687,0.918,7,0.0392,0.00211,1.26e-05,0.344,0.747,110.06,209400,4,*NSYNC,1997
239,0.686,0.812,11,0.0434,0.000787,0.0541,0.0398,0.868,103.677,241827,4,*NSYNC,1997
240,0.75,0.877,0,0.0575,0.0283,0.0,0.527,0.751,113.0,213933,4,*NSYNC,1997
241,0.656,0.658,2,0.0261,0.0354,0.0,0.0437,0.609,85.076,224427,4,*NSYNC,1997
242,0.375,0.527,10,0.0507,0.449,0.0,0.305,0.303,167.242,241493,4,*NSYNC,1997
243,0.692,0.934,5,0.0393,0.068,0.000331,0.0707,0.891,116.648,211200,4,*NSYNC,1997
